COMPANY,A01C,A01G,A01H,A01K,A01M,A01N,A01P,A21D,A23B,A23C,A23D,A23F,A23G,A23J,A23K,A23L,A23P,A24B,A24F,A41D,A44B,A45B,A45C,A45D,A47C,A47F,A47G,A47K,A47L,A61B,A61C,A61D,A61F,A61G,A61H,A61J,A61K,A61L,A61M,A61N,A61P,A61Q,A62B,A62D,A63B,A63F,B01D,B01F,B01J,B01L,B02C,B03B,B03C,B04B,B04C,B05B,B05C,B05D,B06B,B07B,B07C,B08B,B09B,B21D,B23K,B23P,B24B,B24D,B25H,B25J,B26D,B26F,B27K,B27N,B28B,B29B,B29C,B29D,B29K,B29L,B30B,B31B,B32B,B33Y,B41F,B41J,B41K,B41M,B43K,B43M,B60C,B60J,B60K,B60N,B60R,B63B,B64D,B65B,B65C,B65D,B65G,B65H,B66B,B66F,B67B,B67C,B67D,B81B,B81C,B82Y,C01B,C01D,C01F,C01G,C02F,C03B,C03C,C04B,C05B,C05D,C05G,C06B,C06D,C07B,C07C,C07D,C07H,C07K,C07M,C08B,C08C,C08F,C08G,C08H,C08J,C08K,C08L,C09B,C09C,C09D,C09F,C09J,C09K,C10B,C10G,C10L,C10M,C10N,C11B,C11C,C11D,C12C,C12F,C12G,C12H,C12J,C12M,C12N,C12P,C12Q,C12R,C13B,C22B,C22C,C23C,C23F,C25B,C25D,C25F,C30B,C40B,C01F,C02G,C03D,C04B,D04C,D04H,D06M,D06P,D21B,D21C,D21H,E01B,E02B,E04B,E04C,E04F,E04H,E06B,E06C,F21B,F01N,F15B,F16B,F16C,F16D,F16F,F16K,F17C,F21S,F21V,F21Y,F23J,F23Q,F24F,F26B,F28D,G01B,G01D,G01F,C01G,G01H,G01J,G01M,G01P,G01R,G01V,G02B,G02C,G02F,G03B,G03C,G03F,G03G,G04F,G05B,G05F,G06G,C06K,G06M,G06N,G06Q,C07F,G07G,G08B,C08G,G09B,G09F,C09G,G11B,G11C,G16B,G16C,G16H,G21F,G21G,G21K,H01B,H01F,H01G,H01H,H01J,H01L,H01M,H01Q,H01R,H01S,H01T,H02H,H02J,H02K,H02M,H02N,H03L,H03M,H04B,H04L,H04N,H04R,H04W,H05B,H05K
ASKA PHARMA HOLDINGS,0,0,0,0,0.000755858,0.006802721,0,0,0,0,0,0,0,0,0.003023432,0.001511716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001511716,0,0,0.348450491,0.002267574,0.000755858,0,0.62962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000755858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002267574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002267574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTELLAS PHARMA INC,0,0,0,0.002385009,0,0.003634299,0,0,0,0,0,0,0,0,0.000113572,0.000454287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000340716,0,0,0.000567859,0,0,0.001930721,0.534582624,0.002044293,0.000908575,0,0.43157297,0.000340716,0,0,0.000113572,0.000454287,0.000567859,0,0.000567859,0,0,0,0,0.000227144,0,0,0,0.000113572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000227144,0,0,0,0,0,0.000567859,0,0,0.000113572,0,0,0,0,0,0,0,0,0,0,0,0.000227144,0,0.008404316,0.000795003,0,0,0,0,0,0,0,0,0,0.000227144,0,0,0.000567859,0.000340716,0,0,0,0,0,0,0,0,0.000681431,0.000567859,0,0,0.000567859,0,0.000227144,0,0,0.000113572,0,0,0,0,0,0,0,0,0,0.000795003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113572,0,0.000227144,0.000340716,0.000454287,0,0,0,0,0,0,0,0,0,0.000113572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113572,0,0,0.000227144,0,0.000227144,0,0,0.000227144,0,0.000227144,0,0,0,0,0,0.000227144,0,0,0,0,0.001022147,0,0,0.000454287,0,0,0,0,0,0,0,0,0,0,0,0.000113572,0,0.000227144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000227144,0,0,0,0
BIOFERMIN PHARMA,0,0,0,0.005208333,0,0,0,0,0,0,0,0,0,0,0.010416667,0.036458333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479166667,0,0,0,0.40625,0.020833333,0,0,0,0,0.005208333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHUGAI PHARMA,0.000194477,0,0,0.013029949,0.004861921,0.012252042,0.000388954,0,0,0,0,0,0,0,0.000194477,0.000194477,0,0,0,0,0.000194477,0,0,0.000194477,0,0,0,0,0,0.000194477,0,0.000194477,0.000388954,0.000194477,0,0.004861921,0.439712174,0.004667445,0.002528199,0,0.457798522,0.000777907,0,0,0,0,0.003889537,0.000972384,0.003500583,0,0,0,0,0,0,0.001361338,0,0.000388954,0,0,0,0.000194477,0,0.000194477,0,0,0,0,0,0,0,0,0,0,0,0.000194477,0.000388954,0,0,0,0,0,0.000777907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001361338,0,0.007779074,0,0,0,0,0.000194477,0,0,0,0,0,0.000194477,0,0,0,0.000388954,0,0,0,0,0,0,0,0.000194477,0.00311163,0,0.000194477,0.000194477,0.000388954,0.000972384,0.004472968,0,0,0.000583431,0,0,0,0.000194477,0,0,0,0,0,0.003889537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002333722,0.000194477,0.000194477,0.001166861,0,0,0,0,0,0,0,0,0,0,0.012057565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194477,0,0,0,0,0,0,0.000388954,0,0,0,0,0.000194477,0,0,0,0,0,0.000194477,0,0,0,0,0.000583431,0,0,0,0,0,0,0,0,0,0,0.000583431,0,0.000194477,0,0,0,0,0,0,0,0.000194477,0,0,0,0,0,0,0.000388954,0,0,0,0.000194477,0.000388954,0,0,0,0.000388954,0,0,0,0.000583431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000583431,0.000194477,0
DAIICHI SANKYO CO LTD,0,7.8796E-05,0,0.00118194,0,0.002442676,0.000315184,0,0,0,0,0,0,0,0.000315184,0.00078796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001024348,0,0.000157592,0.0019699,0.478528091,0.002994248,0.000551572,0.000315184,0.481049563,0.004491372,0,0,0,0,0.000945552,0.00039398,0.002836656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8796E-05,0,0,0,0,0,0,0,0,0,0,0,0.000236388,0,0,0,7.8796E-05,0,0.000551572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157592,0,0.003230636,0,0,0,0,0,0,0,0,0,0,7.8796E-05,0,0,0,7.8796E-05,0,0,0,0,0,0,0,0,0.005279332,0,0,0,0,0.000472776,0.000157592,0,0,0.000630368,0,0,0,0,0,0,0,0,0,7.8796E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000315184,0,0.000157592,0.00078796,7.8796E-05,0,7.8796E-05,0.000236388,0,0,0,7.8796E-05,7.8796E-05,0,0.003073044,0,0,0,0,0,0,0,0,0,0,0.000236388,0,0,0,0,0,0,0,0,7.8796E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000472776,0,0,0,0,0,0,0,0.000315184,0,0.000157592,0,7.8796E-05,0,0,0,0,0,0.000157592,0,0,0.000472776,0,0,0,0,0,7.8796E-05,0,0,0.000315184,0,0,0,0,0,7.8796E-05,0,0,0,0,0,7.8796E-05,0,7.8796E-05,0,7.8796E-05,0.000315184,0,0,7.8796E-05,7.8796E-05,0.000315184,0,0,7.8796E-05,0,0,7.8796E-05,0,0,0,0,0,0
DAINIPPON SUMITOMO,0,0,0.000136986,0.001917808,0,0.00109589,0.000136986,0,0,0,0,0,0.000410959,0,0,0.003150685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008356164,0,0,0.000136986,0.000136986,0,0.000273973,0.447945205,0.006986301,0.000273973,0.000136986,0.508630137,0.001780822,0,0,0,0,0.000410959,0.000136986,0.001232877,0,0,0,0,0,0,0,0.000410959,0.000273973,0,0,0.000136986,0,0,0,0,0,0,0,0,0,0,0,0,0.000136986,0,0,0.000136986,0,0,0,0,0,0.000136986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273973,0,0.002739726,0.000273973,0,0,0,0,0,0,0,0,0.000136986,0,0,0.000136986,0,0,0,0,0,0,0,0,0,0,0.002739726,0,0,0,0,0.000136986,0.000410959,0,0,0.000273973,0,0,0,0,0,0,0,0,0,0.000136986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000958904,0,0,0.000136986,0,0,0,0,0,0,0,0,0,0.000136986,0.001232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000684932,0,0,0,0,0,0,0.000410959,0,0.000136986,0,0,0,0,0.000410959,0,0,0,0,0,0.000136986,0,0.000273973,0.001232877,0,0,0,0.000410959,0.000136986,0.000136986,0.000410959,0,0,0,0,0.000410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136986,0,0,0,0,0,0.000136986,0,0,0.000410959,0,0.000273973
DAITO PHARMA,0,0,0,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0.060240964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469879518,0,0,0,0.277108434,0,0,0,0,0,0,0.024096386,0.048192771,0,0.060240964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIKEN CHEMICAL CO LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0.01010101,0.050505051,0,0,0,0.04040404,0,0,0,0,0,0.111111111,0,0,0.121212121,0,0,0,0.01010101,0,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343434343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232323232,0,0,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EISAI CO LTD,0,0,0,0.00261749,0,0.00594884,0.000118977,0,0,0,0.000237954,0,0,0,0.000237954,0.009042237,0,0,0.000118977,0,0,0,0,0,0,0,0,0,0,0.001546698,0.000118977,0,0.00856633,0.000118977,0,0.004878049,0.502201071,0.003212374,0.000951814,0.000475907,0.423081499,0.001546698,0,0,0,0,0.000237954,0.000594884,0.004045211,0.000118977,0.000118977,0,0,0.000118977,0,0.000118977,0,0.000237954,0,0,0.000118977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000237954,0,0,0,0.00035693,0,0.003093397,0,0.000118977,0,0,0.000594884,0,0,0,0.000118977,0.000118977,0.000237954,0.000118977,0,0,0.00333135,0.00035693,0.006186794,0.001903629,0.000594884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261749,0,0,0,0,0.000118977,0.00035693,0,0,0.000594884,0,0,0,0,0,0,0,0,0,0.00035693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000594884,0,0,0.000594884,0.000118977,0,0,0,0.000118977,0,0.000118977,0,0,0,0.000951814,0,0,0,0,0.000118977,0.00035693,0.000118977,0,0.000118977,0.000118977,0,0,0,0.000237954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000118977,0,0,0,0,0,0,0.000118977,0,0.000237954,0,0,0.000475907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035693,0.000118977,0.00035693,0,0,0,0,0,0.000237954,0,0,0,0.000118977,0,0.000118977,0,0,0,0,0,0,0,0.000237954,0,0,0,0,0,0,0,0,0,0,0,0,0.000237954,0.00035693,0.001189768,0,0,0,0,0
FUJI PHARMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009615385,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0.663461538,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0.115384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
